Etc/GMT+12,DD/MM/YYYY
Etc/GMT+11,DD/MM/YYYY
MIT,DD/MM/YYYY
Pacific/Apia,DD/MM/YYYY
Pacific/Midway,DD/MM/YYYY
Pacific/Niue,DD/MM/YYYY
Pacific/Pago_Pago,DD/MM/YYYY
Pacific/Samoa,DD/MM/YYYY
US/Samoa,MM/DD/YYYY
America/Adak,MM/DD/YYYY
America/Atka,MM/DD/YYYY
Etc/GMT+10,DD/MM/YYYY
HST,DD/MM/YYYY
Pacific/Fakaofo,DD/MM/YYYY
Pacific/Honolulu,DD/MM/YYYY
Pacific/Johnston,DD/MM/YYYY
Pacific/Rarotonga,DD/MM/YYYY
Pacific/Tahiti,DD/MM/YYYY
SystemV/HST10,DD/MM/YYYY
US/Aleutian,MM/DD/YYYY
US/Hawaii,MM/DD/YYYY
Pacific/Marquesas,DD/MM/YYYY
AST,DD/MM/YYYY
America/Anchorage,MM/DD/YYYY
America/Juneau,MM/DD/YYYY
America/Nome,MM/DD/YYYY
America/Yakutat,MM/DD/YYYY
Etc/GMT+9,DD/MM/YYYY
Pacific/Gambier,DD/MM/YYYY
SystemV/YST9,DD/MM/YYYY
SystemV/YST9YDT,DD/MM/YYYY
US/Alaska,MM/DD/YYYY
America/Dawson,MM/DD/YYYY
America/Ensenada,MM/DD/YYYY
America/Los_Angeles,MM/DD/YYYY
America/Tijuana,MM/DD/YYYY
America/Vancouver,MM/DD/YYYY
America/Whitehorse,MM/DD/YYYY
Canada/Pacific,MM/DD/YYYY
Canada/Yukon,MM/DD/YYYY
Etc/GMT+8,DD/MM/YYYY
Mexico/BajaNorte,DD/MM/YYYY
PST,MM/DD/YYYY
PST8PDT,DD/MM/YYYY
Pacific/Pitcairn,DD/MM/YYYY
SystemV/PST8,DD/MM/YYYY
SystemV/PST8PDT,DD/MM/YYYY
US/Pacific,MM/DD/YYYY
US/Pacific-New,MM/DD/YYYY
America/Boise,MM/DD/YYYY
America/Cambridge_Bay,MM/DD/YYYY
America/Chihuahua,MM/DD/YYYY
America/Dawson_Creek,MM/DD/YYYY
America/Denver,MM/DD/YYYY
America/Edmonton,MM/DD/YYYY
America/Hermosillo,MM/DD/YYYY
America/Inuvik,MM/DD/YYYY
America/Mazatlan,MM/DD/YYYY
America/Phoenix,MM/DD/YYYY
America/Shiprock,MM/DD/YYYY
America/Yellowknife,MM/DD/YYYY
Canada/Mountain,MM/DD/YYYY
Etc/GMT+7,DD/MM/YYYY
MST,MM/DD/YYYY
MST7MDT,MM/DD/YYYY
Mexico/BajaSur,DD/MM/YYYY
Navajo,DD/MM/YYYY
PNT,DD/MM/YYYY
SystemV/MST7,DD/MM/YYYY
SystemV/MST7MDT,DD/MM/YYYY
US/Arizona,MM/DD/YYYY
US/Mountain,MM/DD/YYYY
America/Belize,MM/DD/YYYY
America/Cancun,MM/DD/YYYY
America/Chicago,MM/DD/YYYY
America/Costa_Rica,MM/DD/YYYY
America/El_Salvador,MM/DD/YYYY
America/Guatemala,MM/DD/YYYY
America/Managua,MM/DD/YYYY
America/Menominee,MM/DD/YYYY
America/Merida,MM/DD/YYYY
America/Mexico_City,MM/DD/YYYY
America/Monterrey,MM/DD/YYYY
America/North_Dakota/Center,MM/DD/YYYY
America/Rainy_River,MM/DD/YYYY
America/Rankin_Inlet,MM/DD/YYYY
America/Regina,MM/DD/YYYY
America/Swift_Current,MM/DD/YYYY
America/Tegucigalpa,MM/DD/YYYY
America/Winnipeg,MM/DD/YYYY
CST,MM/DD/YYYY
CST6CDT,MM/DD/YYYY
Canada/Central,MM/DD/YYYY
Canada/East-Saskatchewan,MM/DD/YYYY
Canada/Saskatchewan,MM/DD/YYYY
Chile/EasterIsland,DD/MM/YYYY
Etc/GMT+6,DD/MM/YYYY
Mexico/General,DD/MM/YYYY
Pacific/Easter,DD/MM/YYYY
Pacific/Galapagos,DD/MM/YYYY
SystemV/CST6,DD/MM/YYYY
SystemV/CST6CDT,DD/MM/YYYY
US/Central,MM/DD/YYYY
America/Bogota,MM/DD/YYYY
America/Cayman,MM/DD/YYYY
America/Detroit,MM/DD/YYYY
America/Eirunepe,MM/DD/YYYY
America/Fort_Wayne,MM/DD/YYYY
America/Grand_Turk,MM/DD/YYYY
America/Guayaquil,MM/DD/YYYY
America/Havana,MM/DD/YYYY
America/Indiana/Indianapolis,MM/DD/YYYY
America/Indiana/Knox,MM/DD/YYYY
America/Indiana/Marengo,MM/DD/YYYY
America/Indiana/Vevay,MM/DD/YYYY
America/Indianapolis,MM/DD/YYYY
America/Iqaluit,MM/DD/YYYY
America/Jamaica,MM/DD/YYYY
America/Kentucky/Louisville,MM/DD/YYYY
America/Kentucky/Monticello,MM/DD/YYYY
America/Knox_IN,MM/DD/YYYY
America/Lima,MM/DD/YYYY
America/Louisville,MM/DD/YYYY
America/Montreal,MM/DD/YYYY
America/Nassau,MM/DD/YYYY
America/New_York,MM/DD/YYYY
America/Nipigon,MM/DD/YYYY
America/Panama,MM/DD/YYYY
America/Pangnirtung,MM/DD/YYYY
America/Port-au-Prince,MM/DD/YYYY
America/Porto_Acre,MM/DD/YYYY
America/Rio_Branco,MM/DD/YYYY
America/Thunder_Bay,MM/DD/YYYY
America/Toronto,MM/DD/YYYY
Brazil/Acre,DD/MM/YYYY
Canada/Eastern,MM/DD/YYYY
Cuba,DD/MM/YYYY
EST,MM/DD/YYYY
EST5EDT,MM/DD/YYYY
Etc/GMT+5,DD/MM/YYYY
IET,DD/MM/YYYY
Jamaica,DD/MM/YYYY
SystemV/EST5,DD/MM/YYYY
SystemV/EST5EDT,DD/MM/YYYY
US/East-Indiana,MM/DD/YYYY
US/Eastern,MM/DD/YYYY
US/Indiana-Starke,MM/DD/YYYY
US/Michigan,MM/DD/YYYY
America/Anguilla,MM/DD/YYYY
America/Antigua,MM/DD/YYYY
America/Aruba,MM/DD/YYYY
America/Asuncion,MM/DD/YYYY
America/Barbados,MM/DD/YYYY
America/Boa_Vista,MM/DD/YYYY
America/Campo_Grande,MM/DD/YYYY
America/Caracas,MM/DD/YYYY
America/Cuiaba,MM/DD/YYYY
America/Curacao,MM/DD/YYYY
America/Dominica,MM/DD/YYYY
America/Glace_Bay,MM/DD/YYYY
America/Goose_Bay,MM/DD/YYYY
America/Grenada,MM/DD/YYYY
America/Guadeloupe,MM/DD/YYYY
America/Guyana,MM/DD/YYYY
America/Halifax,MM/DD/YYYY
America/La_Paz,MM/DD/YYYY
America/Manaus,MM/DD/YYYY
America/Martinique,MM/DD/YYYY
America/Montserrat,MM/DD/YYYY
America/Port_of_Spain,MM/DD/YYYY
